4870250,487025
4870251,487025
4870252,487025
780770,78077
780771,78077
780772,78077
5018672,501867
5018670,501867
5018671,501867
5295240,529524
5295241,529524
5295242,529524
4974940,497494
4974941,497494
4974942,497494
1667020,166702
1667021,166702
1667022,166702
3188570,318857
3188571,318857
3188572,318857
4800820,480082
4800821,480082
4800822,480082
4239640,423964
4239641,423964
4239642,423964
810740,81074
810741,81074
810742,81074
2343912,234391
2343910,234391
2343911,234391
2477120,247712
2477121,247712
2477122,247712
5351300,535130
5351301,535130
5351302,535130
3584050,358405
3584051,358405
3584052,358405
4646050,464605
4646051,464605
4646052,464605
2724800,272480
2724801,272480
2724802,272480
2918552,291855
2918550,291855
2918551,291855
1751210,175121
1751211,175121
1751212,175121
1317800,131780
1317801,131780
1317802,131780
5421650,542165
5421651,542165
5421652,542165
2456090,245609
2456091,245609
2456092,245609
1297260,129726
1297261,129726
1297262,129726
5301600,530160
5301601,530160
5301602,530160
473860,47386
473861,47386
473862,47386
2080112,208011
2080110,208011
2080111,208011
3377260,337726
3377261,337726
3377262,337726
4670632,467063
4670630,467063
4670631,467063
5760720,576072
5760721,576072
5760722,576072
3679610,367961
3679611,367961
3679612,367961
2453260,245326
2453261,245326
2453262,245326
3116672,311667
3116670,311667
3116671,311667
626620,62662
626621,62662
626622,62662
3932860,393286
3932861,393286
3932862,393286
1980370,198037
1980371,198037
1980372,198037
4306210,430621
4306211,430621
4306212,430621
4889620,488962
4889621,488962
4889622,488962
2597210,259721
2597211,259721
2597212,259721
3623632,362363
3623630,362363
3623631,362363
4597360,459736
4597361,459736
4597362,459736
734610,73461
734611,73461
734612,73461
5795672,579567
5795670,579567
5795671,579567
560400,56040
560401,56040
560402,56040
2249752,224975
2249750,224975
2249751,224975
3823160,382316
3823161,382316
3823162,382316
3011090,301109
3011091,301109
3011092,301109
1150050,115005
1150051,115005
1150052,115005
278440,27844
278441,27844
278442,27844
4904810,490481
4904811,490481
4904812,490481
5189480,518948
5189481,518948
5189482,518948
5671210,567121
5671211,567121
5671212,567121
2149272,214927
2149270,214927
2149271,214927
4017200,401720
4017201,401720
4017202,401720
2620980,262098
2620981,262098
2620982,262098
3716472,371647
3716470,371647
3716471,371647
5461610,546161
5461611,546161
5461612,546161
61072,6107
61070,6107
61071,6107
4617010,461701
4617011,461701
4617012,461701
281090,28109
281091,28109
281092,28109
4759672,475967
4759670,475967
4759671,475967
5201120,520112
5201121,520112
